location_iso,location_code,target_end_date,epiweek,hospitalizations
US-AL,01,2024-01-06,202401,348.0
US-AL,01,2024-01-13,202402,226.0
US-AL,01,2024-01-20,202403,169.0
US-AL,01,2024-01-27,202404,140.0
US-AL,01,2024-02-03,202405,103.0
US-AL,01,2024-02-10,202406,109.0
US-AL,01,2024-02-17,202407,120.0
US-AL,01,2024-02-24,202408,87.0
US-AL,01,2024-03-02,202409,81.0
US-AL,01,2024-03-09,202410,84.0
US-AL,01,2024-03-16,202411,64.0
US-AL,01,2024-03-23,202412,69.0
US-AL,01,2024-03-30,202413,60.0
US-AL,01,2024-04-06,202414,39.0
US-AL,01,2024-04-13,202415,19.0
US-AL,01,2024-04-20,202416,17.0
US-AL,01,2024-04-27,202417,15.0
US-AL,01,2024-05-04,202418,10.0
US-AL,01,2024-05-11,202419,0.0
US-AL,01,2024-05-18,202420,2.0
US-AL,01,2024-05-25,202421,0.0
US-AL,01,2024-06-01,202422,0.0
US-AL,01,2024-06-08,202423,0.0
US-AL,01,2024-06-15,202424,0.0
US-AL,01,2024-06-22,202425,0.0
US-AL,01,2024-06-29,202426,0.0
US-AL,01,2024-07-06,202427,0.0
US-AL,01,2024-07-13,202428,0.0
US-AL,01,2024-07-20,202429,0.0
US-AL,01,2024-07-27,202430,0.0
US-AL,01,2024-08-03,202431,1.0
US-AL,01,2024-08-10,202432,0.0
US-AL,01,2024-08-17,202433,0.0
US-AL,01,2024-08-24,202434,0.0
US-AL,01,2024-08-31,202435,1.0
US-AL,01,2024-09-07,202436,0.0
US-AL,01,2024-09-14,202437,0.0
US-AL,01,2024-09-21,202438,0.0
US-AL,01,2024-09-28,202439,0.0
US-AL,01,2024-10-05,202440,0.0
US-AL,01,2024-10-12,202441,2.0
US-AL,01,2024-10-19,202442,6.0
US-AL,01,2024-10-26,202443,9.0
US-AL,01,2024-11-02,202444,13.0
US-AL,01,2024-11-09,202445,32.0
US-AL,01,2024-11-16,202446,44.0
US-AL,01,2024-11-23,202447,50.0
US-AL,01,2024-11-30,202448,65.0
US-AL,01,2024-12-07,202449,102.0
US-AL,01,2024-12-14,202450,193.0
US-AL,01,2024-12-21,202451,432.0
US-AL,01,2024-12-28,202452,661.0
US-AL,01,2025-01-04,202501,684.0
US-AL,01,2025-01-11,202502,473.0
US-AL,01,2025-01-18,202503,488.0
US-AL,01,2025-01-25,202504,626.0
US-AL,01,2025-02-01,202505,734.0
US-AL,01,2025-02-08,202506,660.0
US-AL,01,2025-02-15,202507,415.0
US-AL,01,2025-02-22,202508,286.0
US-AL,01,2025-03-01,202509,329.0
US-AL,01,2025-03-08,202510,314.0
US-AL,01,2025-03-15,202511,272.0
US-AL,01,2025-03-22,202512,192.0
US-AL,01,2025-03-29,202513,169.0
US-AL,01,2025-04-05,202514,85.0
US-AL,01,2025-04-12,202515,54.0
US-AL,01,2025-04-19,202516,49.0
US-AL,01,2025-04-26,202517,35.0
US-AL,01,2025-05-03,202518,27.0
US-AL,01,2025-05-10,202519,33.0
US-AL,01,2025-05-17,202520,37.0
US-AL,01,2025-05-24,202521,28.0
US-AL,01,2025-05-31,202522,11.0
US-AL,01,2025-06-07,202523,14.0
US-AL,01,2025-06-14,202524,18.0
US-AL,01,2025-06-21,202525,22.0
US-AL,01,2025-06-28,202526,27.0
US-AL,01,2025-07-05,202527,15.0
US-AL,01,2025-07-12,202528,11.0
US-AL,01,2025-07-19,202529,13.0
US-AL,01,2025-07-26,202530,16.0
US-AL,01,2025-08-02,202531,19.0
US-AL,01,2025-08-09,202532,17.0
US-AL,01,2025-08-16,202533,27.0
US-AL,01,2025-08-23,202534,24.0
US-AL,01,2025-08-30,202535,29.0
US-AL,01,2025-09-06,202536,23.0
US-AL,01,2025-09-13,202537,31.0
US-AL,01,2025-09-20,202538,15.0
US-AL,01,2025-09-27,202539,18.0
US-AL,01,2025-10-04,202540,21.0
US-AL,01,2025-10-11,202541,14.0
US-AL,01,2025-10-18,202542,12.0
US-AL,01,2025-10-25,202543,11.0
US-AL,01,2025-11-01,202544,15.0
US-AL,01,2025-11-08,202545,18.0
US-AL,01,2025-11-15,202546,31.0
US-AL,01,2025-11-22,202547,37.0
US-AL,01,2025-11-29,202548,46.0
US-AL,01,2025-12-06,202549,67.0
US-AL,01,2025-12-13,202550,104.0
US-AL,01,2025-12-20,202551,275.0
US-AL,01,2025-12-27,202552,498.0
US-AL,01,2026-01-03,202553,501.0
US-AL,01,2026-01-10,202601,316.0
US-AL,01,2026-01-17,202602,206.0
US-AL,01,2026-01-24,202603,250.0
US-AL,01,2026-01-31,202604,262.0
US-AL,01,2026-02-07,202605,355.0
US-AL,01,2026-02-14,202606,437.0
US-AL,01,2026-02-21,202607,333.0
US-AL,01,2026-02-28,202608,180.0
US-AL,01,2026-03-07,202609,145.0
US-AL,01,2026-03-14,202610,105.0
US-AL,01,2026-03-21,202611,58.0
US-AL,01,2026-03-28,202612,45.0
US-AL,01,2026-04-04,202613,30.0
US-AL,01,2026-04-11,202614,33.0
US-AL,01,2026-04-18,202615,26.0
US-AL,01,2026-04-25,202616,28.0
US-AL,01,2026-05-02,202617,20.0
US-AL,01,2026-05-09,202618,20.0
US-AL,01,2026-05-16,202619,23.0
US-AL,01,2026-05-23,202620,14.0
US-AK,02,2024-01-06,202401,5.0
US-AK,02,2024-01-13,202402,6.0
US-AK,02,2024-01-20,202403,9.0
US-AK,02,2024-01-27,202404,7.0
US-AK,02,2024-02-03,202405,8.0
US-AK,02,2024-02-10,202406,11.0
US-AK,02,2024-02-17,202407,2.0
US-AK,02,2024-02-24,202408,4.0
US-AK,02,2024-03-02,202409,11.0
US-AK,02,2024-03-09,202410,5.0
